YYYYMM,ACCOUNT_ID,ACCOUNT_TYPE,ACCOUNT_BALANCE_NEW
202512,A00001,investment,506375.97
202512,A00002,lending,18011.13
202512,A00003,investment,0
202512,A00004,investment,247221.47
202512,A00005,chequing,15318.9
202512,A00006,investment,5975.58
202512,A00007,investment,762345.87
202512,A00008,saving,18062.99
202512,A00009,chequing,4153.02
202512,A00010,lending,9114.55
202512,A00011,investment,582550.45
202512,A00012,chequing,4925.23
202512,A00013,card,-533.65
202512,A00014,saving,19961.49
202512,A00015,card,-2456.42
202512,A00016,saving,19393.73
202512,A00017,saving,47144.13
202512,A00018,chequing,19849.16
202512,A00019,mortgage,377556.25
202512,A00020,lending,17983.22
202512,A00021,mortgage,194277.01
202512,A00022,investment,539093.78
202512,A00023,investment,864716.35
202512,A00024,lending,46040.55
202512,A00025,mortgage,312718.85
202512,A00026,saving,10065.58
202512,A00027,card,-3350.26
202512,A00028,mortgage,140307.14
202512,A00029,investment,200787
202512,A00030,chequing,533.35
202512,A00031,card,-683.24
202512,A00032,saving,7281.63
202512,A00033,investment,622265.96
202512,A00034,lending,39606.47
202512,A00035,card,-3536.6
202512,A00036,saving,0
202512,A00037,saving,6617.73
202512,A00038,investment,111783.25
202512,A00039,investment,0
202512,A00040,chequing,6674.97
202512,A00041,saving,28731.13
202512,A00042,card,-946.47
202512,A00043,saving,11393.42
202512,A00044,card,-3128.61
202512,A00045,mortgage,367884.28
202512,A00046,investment,198821
202512,A00047,chequing,5410.73
202512,A00048,chequing,0
202512,A00049,mortgage,0
202512,A00050,saving,6219.84
202512,A00051,saving,16762.36
202512,A00052,investment,209005.37
202512,A00053,chequing,5335.19
202512,A00054,chequing,7909
202512,A00055,lending,38672.75
202512,A00056,investment,83564.65
202512,A00057,investment,0
202512,A00058,mortgage,319870.73
202512,A00059,investment,0
202512,A00060,investment,0
202512,A00061,chequing,17800.32
202512,A00062,investment,576186.65
202512,A00063,investment,823054.81
202512,A00064,investment,634932.26
202512,A00065,investment,945252.2
202512,A00066,mortgage,95955.18
202512,A00067,investment,167052.85
202512,A00068,investment,0
202512,A00069,investment,142297.37
202512,A00070,investment,353589.28
202512,A00071,investment,433218.17
202512,A00072,lending,28126.61
202512,A00073,chequing,10252.77
202512,A00074,saving,22638.64
202512,A00075,investment,917954.51
202512,A00076,investment,348709.61
202512,A00077,investment,467639.47
202512,A00078,mortgage,90290.79
202512,A00079,lending,4470.35
202512,A00080,investment,961165.38
202512,A00081,chequing,9303.24
202512,A00082,investment,974559.66
202512,A00083,investment,233905.59
202512,A00084,mortgage,214409.59
202512,A00085,investment,28266.74
202512,A00086,chequing,5272.86
202512,A00087,lending,25514.57
202512,A00088,investment,0
202512,A00089,investment,668137.9
202512,A00090,mortgage,277273.23
202512,A00091,saving,9325.51
202512,A00092,investment,533484.53
202512,A00093,investment,277377.08
202512,A00094,card,-2357.01
202512,A00095,chequing,9886.92
202512,A00096,saving,4749.91
202512,A00097,investment,853938.77
202512,A00098,card,-777.55
202512,A00099,saving,35022.14
202512,A00100,saving,7370.96
202512,A00101,investment,0
202512,A00102,mortgage,119135.79
202512,A00103,mortgage,259523.2
202512,A00104,saving,6941.69
202512,A00105,saving,48012.11
202512,A00106,investment,414544.52
202512,A00107,investment,257139.4
202512,A00108,chequing,2567.86
202512,A00109,card,0
202512,A00110,investment,0
202512,A00111,investment,694606.83
202512,A00112,investment,67420.15
202512,A00113,chequing,14668.59
202512,A00114,card,0
202512,A00115,saving,15604.71
202512,A00116,investment,322312.28
202512,A00117,mortgage,112229.06
202512,A00118,lending,16090.06
202512,A00119,investment,409309.56
202512,A00120,chequing,19429.05
202512,A00121,card,-2855.74
202512,A00122,chequing,7637.85
202512,A00123,chequing,9651.73
202512,A00124,investment,391279.75
202512,A00125,chequing,7996.75
202512,A00126,investment,582932.35
202512,A00127,card,-2880.25
202512,A00128,investment,409358.28
202512,A00129,mortgage,0
202512,A00130,investment,912829.55
202512,A00131,chequing,3637.56
202512,A00132,investment,231969.95
202512,A00133,chequing,9735.13
202512,A00134,investment,58944.49
202512,A00135,investment,845827.68
202512,A00136,card,-2935.84
202512,A00137,lending,46658.54
202512,A00138,investment,589479.07
202512,A00139,investment,98667.24
202512,A00140,mortgage,306284.04
202512,A00141,investment,0
202512,A00142,lending,0
202512,A00143,chequing,11885.26
202512,A00144,investment,0
202512,A00145,saving,0
202512,A00146,chequing,9273.39
202512,A00147,mortgage,480164.31
202512,A00148,investment,789069.53
202512,A00149,investment,34391.04
202512,A00150,chequing,0
202512,A00151,mortgage,493492.2
202512,A00152,investment,163769.9
202512,A00153,card,-1583.34
202512,A00154,saving,6797.38
202512,A00155,saving,6151.62
202512,A00156,chequing,7940.43
202512,A00157,investment,34195.26
202512,A00158,investment,600795.62
202512,A00159,lending,42591.88
202512,A00160,investment,687136.69
202512,A00161,investment,347191.3
202512,A00162,investment,560569.61
202512,A00163,investment,849564.06
202512,A00164,saving,0
202512,A00165,investment,0
202512,A00166,investment,499332.28
202512,A00167,investment,199164.15
202512,A00168,investment,0
202512,A00169,investment,809254.4
202512,A00170,lending,13888.81
202512,A00171,investment,234102.43
202512,A00172,investment,3753.78
202512,A00173,chequing,0
202512,A00174,saving,15981.3
202512,A00175,investment,171872.47
202512,A00176,lending,31851.59
202512,A00177,investment,992243.33
202512,A00178,saving,11750.88
202512,A00179,lending,32490.41
202512,A00180,investment,174853.32
202512,A00181,investment,964876.79
202512,A00182,chequing,5977.2
202512,A00183,saving,14913.44
202512,A00184,lending,42994.1
202512,A00185,investment,471682.13
202512,A00186,chequing,0
202512,A00187,chequing,17685.73
202512,A00188,chequing,0
202512,A00189,card,-4892.87
202512,A00190,saving,0
202512,A00191,card,-3852.22
202512,A00192,chequing,16020.09
202512,A00193,investment,385613.87
202512,A00194,lending,4962.71
202512,A00195,investment,421351.21
202512,A00196,investment,718692.76
202512,A00197,mortgage,247376.13
202512,A00198,investment,534898.5
202512,A00199,investment,0
202512,A00200,investment,988455.44
202512,A00201,chequing,16053.53
202512,A00202,investment,58565.55
202512,A00203,investment,511878.01
202512,A00204,mortgage,408775.33
202512,A00205,saving,2204.84
202512,A00206,investment,134479.49
202512,A00207,investment,750450.84
202512,A00208,investment,435657.75
202512,A00209,saving,8400.59
202512,A00210,investment,215540.03
202512,A00211,investment,683478.1
202512,A00212,investment,296811.82
202512,A00213,saving,15756.63
202512,A00214,lending,27531.09
202512,A00215,card,0
202512,A00216,mortgage,75562.16
202512,A00217,mortgage,191387.64
202512,A00218,mortgage,212420.31
202512,A00219,chequing,17455.47
202512,A00220,mortgage,0
202512,A00221,investment,490881.41
202512,A00222,card,-4882.84
202512,A00223,investment,622306.49
202512,A00224,chequing,9144.6
202512,A00225,investment,525041.62
202512,A00226,card,-820.57
202512,A00227,investment,422865.36
202512,A00228,card,-3561.25
202512,A00229,card,-474.22
202512,A00230,saving,6304.29
202512,A00231,investment,971701.06
202512,A00232,mortgage,376767.54
202512,A00233,card,-2962.6
202512,A00234,investment,0
202512,A00235,investment,482733.03
202512,A00236,card,0
202512,A00237,investment,190348.01
202512,A00238,chequing,14567.65
202512,A00239,chequing,5449.64
202512,A00240,saving,1847.47
202512,A00241,investment,922299.06
202512,A00242,card,-3313.03
202512,A00243,saving,5453.26
202512,A00244,chequing,2922.28
202512,A00245,investment,746341.03
202512,A00246,investment,356557.99
202512,A00247,saving,12164.75
202512,A00248,chequing,0
202512,A00249,lending,39090.8
202512,A00250,investment,537128.55
202512,A00251,chequing,6261.04
202512,A00252,investment,429702.8
202512,A00253,chequing,11043.84
202512,A00254,investment,776990.82
202512,A00255,saving,29558.03
202512,A00256,mortgage,444261.72
202512,A00257,saving,2492.95
202512,A00258,lending,5257.61
202512,A00259,investment,58272.81
202512,A00260,saving,8581.03
202512,A00261,chequing,712.53
202512,A00262,saving,6723.51
202512,A00263,saving,42641.98
202512,A00264,investment,11962.22
202512,A00265,investment,788188.59
202512,A00266,saving,12990.03
202512,A00267,investment,436780.67
202512,A00268,investment,220328.24
202512,A00269,chequing,19649.37
202512,A00270,card,0
202512,A00271,investment,0
202512,A00272,investment,499347.32
202512,A00273,chequing,347.71
202512,A00274,mortgage,246203.75
202512,A00275,investment,942229.31
202512,A00276,investment,952666.54
202512,A00277,lending,17597.83
202512,A00278,card,0
202512,A00279,mortgage,409115.66
202512,A00280,chequing,9477.21
202512,A00281,lending,1068.25
202512,A00282,investment,904478.93
202512,A00283,lending,0
202512,A00284,chequing,10499.05
202512,A00285,investment,715166.61
202512,A00286,lending,3263.75
202512,A00287,card,-1155.66
202512,A00288,investment,987061.95
202512,A00289,chequing,8423.14
202512,A00290,chequing,0
202512,A00291,saving,10844.88
202512,A00292,investment,963969.23
202512,A00293,investment,0
202512,A00294,investment,0
202512,A00295,investment,915053.49
202512,A00296,card,-1568.45
202512,A00297,chequing,6447.93
202512,A00298,chequing,9252.28
202512,A00299,investment,26535.65
202512,A00300,investment,465264.01
202512,A00301,saving,3052.69
202512,A00302,chequing,6563.79
202512,A00303,saving,12381.57
202512,A00304,investment,3223.95
202512,A00305,lending,19196.51
202512,A00306,investment,41454.27
202512,A00307,mortgage,264106.94
202512,A00308,mortgage,0
202512,A00309,mortgage,218609.61
202512,A00310,investment,488756.48
202512,A00311,lending,20474.65
202512,A00312,card,-4855.91
202512,A00313,investment,46925.07
202512,A00314,investment,557531.8
202512,A00315,investment,326696.5
202512,A00316,lending,36698.36
202512,A00317,chequing,6849.35
202512,A00318,chequing,8586.29
202512,A00319,card,-840.45
202512,A00320,lending,41223.08
202512,A00321,mortgage,475860.26
202512,A00322,saving,8577.46
202512,A00323,saving,16948.06
202512,A00324,lending,47052.03
202512,A00325,investment,630325.24
202512,A00326,lending,42433.35
202512,A00327,investment,283119.41
202512,A00328,investment,938225.14
202512,A00329,investment,0
202512,A00330,chequing,6964.39
202512,A00331,investment,0
202512,A00332,saving,6152.16
202512,A00333,investment,0
202512,A00334,saving,33581.81
202512,A00335,mortgage,152777.45
202512,A00336,chequing,11200.88
202512,A00337,investment,780510.85
202512,A00338,investment,944910.4
202512,A00339,saving,16216.29
202512,A00340,mortgage,59326.15
202512,A00341,investment,19842.62
202512,A00342,lending,48894.96
202512,A00343,saving,15076.22
202512,A00344,mortgage,368128.31
202512,A00345,investment,706132.38
202512,A00346,investment,182665.36
202512,A00347,investment,777245.94
202512,A00348,investment,916799.3
202512,A00349,chequing,7876.63
202512,A00350,investment,258787.48
202512,A00351,investment,0
202512,A00352,lending,20869.88
202512,A00353,investment,79977.49
202512,A00354,saving,6254.99
202512,A00355,investment,48205.87
202512,A00356,investment,505287.64
202512,A00357,investment,828528.72
202512,A00358,mortgage,118498.26
202512,A00359,investment,12140.15
202512,A00360,investment,714186.01
202512,A00361,card,-1980.65
202512,A00362,investment,900749.13
202512,A00363,investment,105881.09
202512,A00364,investment,869846.95
202512,A00365,saving,49720.56
202512,A00366,card,-642.69
202512,A00367,investment,577940.47
202512,A00368,investment,289630.03
202512,A00369,chequing,15013.26
202512,A00370,card,-2058.51
202512,A00371,investment,63487.18
202512,A00372,investment,733731.52
202512,A00373,saving,21041.86
202512,A00374,investment,378584.26
202512,A00375,chequing,10362.54
202512,A00376,saving,10135.08
202512,A00377,investment,344248.12
202512,A00378,investment,0
202512,A00379,lending,16011.27
202512,A00380,investment,588934.78
202512,A00381,chequing,7978.51
202512,A00382,lending,18642.58
202512,A00383,chequing,1656.06
202512,A00384,chequing,3703.42
202512,A00385,chequing,13366.97
202512,A00386,chequing,14129.65
202512,A00387,investment,285145.46
202512,A00388,investment,443142.27
202512,A00389,investment,874405.27
202512,A00390,investment,0
202512,A00391,saving,19697.01
202512,A00392,investment,393146.02
202512,A00393,saving,10358.49
202512,A00394,lending,5350.86
202512,A00395,investment,755227.73
202512,A00396,mortgage,486068.24
202512,A00397,mortgage,119261.01
202512,A00398,saving,32505.14
202512,A00399,investment,35727.79
202512,A00400,investment,42777.68
202512,A00401,chequing,6221.08
202512,A00402,chequing,1416.33
202512,A00403,investment,95930.41
202512,A00404,investment,0
202512,A00405,lending,30522.57
202512,A00406,saving,7800.63
202512,A00407,lending,26440.79
202512,A00408,card,-4279.04
202512,A00409,investment,10862.59
202512,A00410,chequing,9607.56
202512,A00411,card,-821.77
202512,A00412,card,-4171.45
202512,A00413,chequing,594.72
202512,A00414,investment,535882.24
202512,A00415,investment,743166.36
202512,A00416,investment,872199.49
202512,A00417,investment,27802.33
202512,A00418,investment,509929.64
202512,A00419,investment,81024.71
202512,A00420,investment,789881.95
202512,A00421,chequing,9077.89
202512,A00422,investment,157292.67
202512,A00423,lending,12880.76
202512,A00424,chequing,6707.02
202512,A00425,chequing,750.84
202512,A00426,chequing,8486.44
202512,A00427,chequing,14062.08
202512,A00428,card,-2938.02
202512,A00429,chequing,15565.36
202512,A00430,chequing,8611.2
202512,A00431,card,-1986.5
202512,A00432,saving,12534.1
202512,A00433,investment,982590.74
202512,A00434,chequing,4264.76
202512,A00435,investment,827850.33
202512,A00436,mortgage,353203.2
202512,A00437,investment,832330.13
202512,A00438,saving,3805.33
202512,A00439,chequing,7878.65
202512,A00440,chequing,9085.23
202512,A00441,chequing,9294.7
202512,A00442,chequing,7367.25
202512,A00443,saving,6323.79
202512,A00444,saving,7283.85
202512,A00445,chequing,0
202512,A00446,chequing,12033.46
202512,A00447,chequing,8286.56
202512,A00448,investment,510107.61
202512,A00449,investment,165875.69
202512,A00450,investment,108044.72
202512,A00451,card,-4685.31
202512,A00452,investment,0
202512,A00453,investment,108296.28
202512,A00454,chequing,0
202512,A00455,chequing,16789.61
202512,A00456,investment,820170.23
202512,A00457,chequing,12506.04
202512,A00458,card,-151.61
202512,A00459,investment,623577.96
202512,A00460,saving,19304.49
202512,A00461,investment,98986.43
202512,A00462,investment,0
202512,A00463,investment,569452.13
202512,A00464,investment,84972.4
202512,A00465,investment,287053.58
202512,A00466,saving,5003.17
202512,A00467,investment,600598.73
202512,A00468,investment,24327.76
202512,A00469,card,-4543.49
202512,A00470,chequing,9920.88
202512,A00471,investment,936108.6
202512,A00472,investment,602032.02
202512,A00473,investment,479841.92
202512,A00474,mortgage,63667.93
202512,A00475,saving,15181.41
202512,A00476,investment,28327.18
202512,A00477,investment,387909.89
202512,A00478,lending,26752.43
202512,A00479,lending,39323.47
202512,A00480,lending,23137.54
202512,A00481,investment,690892.58
202512,A00482,chequing,5217.12
202512,A00483,investment,20187.6
202512,A00484,investment,119572.69
202512,A00485,mortgage,237678.32
202512,A00486,investment,342704.35
202512,A00487,investment,767924.96
202512,A00488,investment,39343.61
202512,A00489,chequing,7690.91
202512,A00490,mortgage,334323.38
202512,A00491,investment,0
202512,A00492,investment,647404.53
202512,A00493,chequing,12694.02
202512,A00494,chequing,6890.78
202512,A00495,investment,757238.23
202512,A00496,investment,0
202512,A00497,investment,0
202512,A00498,investment,976170.97
202512,A00499,mortgage,57108.51
202512,A00500,investment,0
202512,A00501,lending,16619.07
202512,A00502,chequing,14762.31
202512,A00503,card,0
202512,A00504,chequing,10076.77
202512,A00505,mortgage,248313.57
202512,A00506,investment,44850.6
202512,A00507,chequing,12173.96
202512,A00508,investment,781371.7
202512,A00509,chequing,7439.84
202512,A00510,mortgage,94265.34
202512,A00511,investment,707530.67
202512,A00512,saving,11110.51
202512,A00513,mortgage,471772.45
202512,A00514,investment,658164.37
202512,A00515,investment,8946.19
202512,A00516,investment,37082.42
202512,A00517,investment,941458.8
202512,A00518,chequing,1505.67
202512,A00519,chequing,9743.41
202512,A00520,investment,960200.89
202512,A00521,saving,10596.22
202512,A00522,investment,962042.85
202512,A00523,investment,272410.23
202512,A00524,saving,1406.12
202512,A00525,saving,8900.83
202512,A00526,investment,864918.36
202512,A00527,lending,0
202512,A00528,card,-210.47
202512,A00529,saving,15633.96
