YYYYMM,ACCOUNT_ID,CLIENT_ID
202512,A00001,C02747
202512,A00002,C08004
202512,A00002,C09826
202512,A00003,C06712
202512,A00003,C09935
202512,A00004,C02874
202512,A00004,C00424
202512,A00005,C04683
202512,A00006,C07205
202512,A00007,C03577
202512,A00008,C02591
202512,A00008,C01793
202512,A00008,C04781
202512,A00009,C06541
202512,A00009,C02884
202512,A00010,C01600
202512,A00010,C05687
202512,A00010,C08016
202512,A00011,C09496
202512,A00012,C08954
202512,A00013,C04021
202512,A00014,C01661
202512,A00015,C06512
202512,A00015,C03533
202512,A00015,C01714
202512,A00016,C08911
202512,A00017,C03018
202512,A00018,C07563
202512,A00019,C08379
202512,A00019,C05949
202512,A00020,C08218
202512,A00021,C08705
202512,A00021,C01359
202512,A00021,C04811
202512,A00022,C05694
202512,A00023,C08107
202512,A00023,C03072
202512,A00024,C08147
202512,A00024,C07778
202512,A00025,C09413
202512,A00025,C03548
202512,A00026,C01682
202512,A00026,C01859
202512,A00027,C01022
202512,A00027,C07412
202512,A00028,C09174
202512,A00028,C05475
202512,A00028,C04572
202512,A00029,C00462
202512,A00029,C05090
202512,A00029,C00342
202512,A00030,C00366
202512,A00030,C05688
202512,A00030,C06201
202512,A00031,C05032
202512,A00032,C09359
202512,A00032,C00409
202512,A00033,C07915
202512,A00033,C08362
202512,A00033,C02920
202512,A00034,C02904
202512,A00034,C04952
202512,A00035,C06170
202512,A00036,C07470
202512,A00037,C06142
202512,A00038,C03224
202512,A00038,C05983
202512,A00039,C04061
202512,A00040,C09171
202512,A00041,C03001
202512,A00041,C08449
202512,A00042,C01599
202512,A00043,C07675
202512,A00043,C05275
202512,A00044,C04488
202512,A00045,C09063
202512,A00045,C03461
202512,A00046,C07679
202512,A00047,C04152
202512,A00048,C05871
202512,A00048,C04395
202512,A00049,C07574
202512,A00050,C03825
202512,A00050,C08528
202512,A00051,C03509
202512,A00051,C08565
202512,A00052,C06482
202512,A00052,C08128
202512,A00053,C07394
202512,A00053,C05579
202512,A00054,C02916
202512,A00054,C01139
202512,A00055,C07375
202512,A00055,C07725
202512,A00055,C04351
202512,A00056,C00784
202512,A00057,C07575
202512,A00058,C03535
202512,A00059,C00747
202512,A00060,C09547
