YYYYMM,CLIENT_ID,STATUS,AGE,PORTFOLIO_ID,CLIENT_TENURE
202512,C00001,Existing,45,P0038,165
202512,C00002,Existing,45,P0101,68
202512,C00003,Left,35,P0062,68
202512,C00004,Existing,43,P0121,39
202512,C00005,Left,44,P0048,110
202512,C00006,Existing,43,P0010,112
202512,C00007,Left,50,P0036,11
202512,C00008,Left,51,P0157,39
202512,C00009,Existing,22,P0004,56
202512,C00010,Existing,54,P0044,38
202512,C00011,Existing,22,P0056,34
202512,C00012,Existing,25,P0042,106
202512,C00013,Left,46,P0114,48
202512,C00014,Existing,46,P0141,54
202512,C00015,Existing,43,P0174,80
202512,C00016,Existing,36,P0161,179
202512,C00017,Existing,37,P0021,3
202512,C00018,Existing,40,P0079,78
202512,C00019,Existing,45,P0185,67
202512,C00020,Existing,43,P0069,106
202512,C00021,Left,23,P0070,88
202512,C00022,Existing,47,P0067,76
202512,C00023,Left,35,P0048,74
202512,C00024,Existing,44,P0161,153
202512,C00025,Existing,44,P0036,57
202512,C00026,Existing,45,P0161,164
202512,C00027,Existing,38,P0159,140
202512,C00028,Existing,48,P0149,163
202512,C00029,Existing,44,P0027,93
202512,C00030,Existing,41,P0072,150
202512,C00031,Existing,36,P0101,138
202512,C00032,Existing,47,P0190,109
202512,C00033,Existing,21,P0096,45
202512,C00034,Existing,33,P0128,74
202512,C00035,Existing,59,P0026,15
202512,C00036,Existing,48,P0066,27
202512,C00037,Existing,39,P0140,99
202512,C00038,Existing,42,P0022,108
202512,C00039,Existing,38,P0017,134
202512,C00040,Left,37,P0007,78
202512,C00041,Existing,22,P0107,36
202512,C00042,Existing,55,P0068,11
202512,C00043,Existing,35,P0128,55
202512,C00044,Existing,48,P0037,101
202512,C00045,Existing,50,P0038,143
202512,C00046,Existing,26,P0096,14
202512,C00047,Existing,48,P0139,64
202512,C00048,Existing,38,P0001,113
202512,C00049,Existing,49,P0153,149
202512,C00050,Existing,49,P0042,24
202512,C00051,Existing,37,P0180,159
202512,C00052,Left,40,P0152,73
202512,C00053,Existing,36,P0181,139
202512,C00054,Existing,29,P0184,71
202512,C00055,Existing,34,P0063,96
202512,C00056,Existing,26,P0081,80
202512,C00057,Left,36,P0008,87
202512,C00058,Existing,50,P0187,57
202512,C00059,Existing,51,P0173,93
202512,C00060,Existing,45,P0027,61
202512,C00061,Existing,56,P0052,20
202512,C00062,Existing,44,P0146,164
202512,C00063,Existing,48,P0091,166
202512,C00064,Existing,48,P0086,178
202512,C00065,Existing,49,P0016,75
202512,C00066,Existing,46,P0066,88
202512,C00067,Existing,36,P0005,104
202512,C00068,Existing,23,P0082,12
202512,C00069,Left,41,P0131,63
202512,C00070,Existing,50,P0118,156
202512,C00071,Existing,38,P0081,112
202512,C00072,Left,53,P0070,88
202512,C00073,Left,42,P0115,5
202512,C00074,Existing,38,P0007,113
202512,C00075,Existing,39,P0050,98
202512,C00076,Existing,38,P0142,168
202512,C00077,Existing,20,P0166,85
202512,C00078,Existing,39,P0111,126
202512,C00079,Existing,45,P0047,140
202512,C00080,Existing,47,P0112,106
202512,C00081,Left,38,P0161,169
202512,C00082,Existing,49,P0043,103
202512,C00083,Existing,41,P0091,164
202512,C00084,Existing,62,P0029,10
202512,C00085,Existing,32,P0128,78
202512,C00086,Existing,36,P0185,162
202512,C00087,Existing,49,P0133,127
202512,C00088,Existing,56,P0096,73
202512,C00089,Existing,63,P0188,94
202512,C00090,Left,29,P0117,51
202512,C00091,Existing,33,P0070,40
202512,C00092,Existing,39,P0130,4
202512,C00093,Left,58,P0070,5
202512,C00094,Existing,40,P0110,73
202512,C00095,Existing,33,P0171,12
202512,C00096,Existing,40,P0132,149
202512,C00097,Existing,29,P0056,16
202512,C00098,Existing,27,P0187,105
202512,C00099,Left,39,P0089,81
202512,C00100,Existing,58,P0137,65
202512,C00101,Existing,48,P0131,14
202512,C00102,Existing,47,P0176,157
202512,C00103,Existing,52,P0171,29
202512,C00104,Existing,37,P0100,105
202512,C00105,Existing,49,P0129,160
202512,C00106,Existing,39,P0057,147
202512,C00107,Existing,49,P0181,89
202512,C00108,Existing,50,P0144,132
202512,C00109,Existing,61,P0051,26
202512,C00110,Existing,42,P0112,77
202512,C00111,Left,51,P0104,93
202512,C00112,Existing,37,P0127,71
202512,C00113,Left,52,P0055,50
202512,C00114,Existing,38,P0001,176
202512,C00115,Existing,50,P0090,102
202512,C00116,Existing,40,P0156,104
202512,C00117,Existing,55,P0053,65
202512,C00118,Existing,56,P0186,45
202512,C00119,Existing,42,P0073,161
202512,C00120,Existing,48,P0188,101
202512,C00121,Existing,44,P0187,10
202512,C00122,Existing,44,P0108,91
202512,C00123,Existing,45,P0150,71
202512,C00124,Existing,45,P0008,67
202512,C00125,Left,48,P0177,65
202512,C00126,Existing,39,P0042,57
202512,C00127,Existing,47,P0155,112
202512,C00128,Existing,39,P0167,136
202512,C00129,Existing,51,P0025,114
202512,C00130,Existing,36,P0038,161
202512,C00131,Existing,46,P0085,136
202512,C00132,Existing,41,P0152,136
202512,C00133,Existing,39,P0024,92
202512,C00134,Existing,37,P0060,141
202512,C00135,Existing,42,P0178,125
202512,C00136,Left,46,P0111,151
202512,C00137,Existing,64,P0066,47
202512,C00138,Existing,36,P0142,153
202512,C00139,Left,63,P0053,101
202512,C00140,Existing,52,P0160,2
