YYYYMM,EMPLOYEE_STATUS,PORTFOLIO_ID,GROUP,ADVISOR_ID,ADVISOR_NAME,REGION_NAME,MARKET_NAME,EMPLOYEE_TENURE,ADVISOR_LEVEL
202512,Active,P0001,Platinum,AD0001,Advisor_1,BC,Vancouver,15,5
202512,Active,P0002,basic,AD0002,Advisor_2,Quebec,Quebec City,4,2
202512,Active,P0003,basic,AD0003,Advisor_3,Ontario,Toronto,8,2
202512,Active,P0004,basic,AD0004,Advisor_4,Alberta,Calgary,3,2
202512,Active,P0005,Platinum,AD0005,Advisor_5,BC,Victoria,23,4
202512,Active,P0006,Platinum,AD0006,Advisor_6,Ontario,Ottawa,23,5
202512,Active,P0007,Platinum,AD0007,Advisor_7,Ontario,Toronto,16,3
202512,Active,P0008,basic,AD0008,Advisor_8,Alberta,Edmonton,2,2
202512,Active,P0009,basic,AD0009,Advisor_9,BC,Vancouver,6,2
202512,Active,P0010,basic,AD0010,Advisor_10,BC,Victoria,9,1
202512,Active,P0011,Platinum,AD0011,Advisor_11,Ontario,Mississauga,18,3
202512,Active,P0012,basic,AD0012,Advisor_12,Ontario,Mississauga,5,1
202512,Active,P0013,basic,AD0013,Advisor_13,Alberta,Red Deer,4,2
202512,Active,P0014,Platinum,AD0014,Advisor_14,Alberta,Red Deer,17,5
202512,Active,P0015,Platinum,AD0015,Advisor_15,BC,Vancouver,15,3
202512,Active,P0016,Platinum,AD0016,Advisor_16,Quebec,Montreal,17,5
202512,Active,P0017,Platinum,AD0017,Advisor_17,BC,Vancouver,21,4
202512,Active,P0018,basic,AD0018,Advisor_18,Ontario,Mississauga,6,2
202512,Active,P0019,basic,AD0019,Advisor_19,BC,Victoria,3,2
202512,Active,P0020,Platinum,AD0020,Advisor_20,Quebec,Montreal,22,4
202512,Active,P0021,basic,AD0021,Advisor_21,Alberta,Red Deer,2,1
202512,Active,P0022,Platinum,AD0022,Advisor_22,Quebec,Quebec City,28,3
202512,Active,P0023,Platinum,AD0023,Advisor_23,Quebec,Quebec City,26,3
202512,Active,P0024,Platinum,AD0024,Advisor_24,Quebec,Quebec City,15,5
202512,Active,P0025,basic,AD0025,Advisor_25,Alberta,Calgary,3,1
202512,Active,P0026,basic,AD0026,Advisor_26,Quebec,Montreal,3,2
202512,Active,P0027,Platinum,AD0027,Advisor_27,Quebec,Quebec City,15,3
202512,Active,P0028,basic,AD0028,Advisor_28,Quebec,Montreal,5,2
202512,Active,P0029,basic,AD0029,Advisor_29,Ontario,Mississauga,3,2
202512,Active,P0030,Platinum,AD0030,Advisor_30,Quebec,Montreal,19,3
202512,Active,P0031,basic,AD0031,Advisor_31,Alberta,Edmonton,1,2
202512,Active,P0032,Platinum,AD0032,Advisor_32,Quebec,Montreal,19,4
202512,Active,P0033,Platinum,AD0033,Advisor_33,Quebec,Quebec City,17,5
202512,Active,P0034,basic,AD0034,Advisor_34,Alberta,Red Deer,1,2
202512,Active,P0035,basic,AD0035,Advisor_35,Quebec,Montreal,5,2
202512,Active,P0036,basic,AD0036,Advisor_36,Alberta,Calgary,7,2
202512,Active,P0037,Platinum,AD0037,Advisor_37,Quebec,Montreal,17,3
202512,Active,P0038,Platinum,AD0038,Advisor_38,Alberta,Edmonton,23,4
202512,Active,P0039,basic,AD0039,Advisor_39,Quebec,Quebec City,6,2
202512,Active,P0040,basic,AD0040,Advisor_40,Quebec,Quebec City,3,2
